length,num_semicolons,has_sql_keywords,num_special_chars,has_http_methods
55,0,0,7,0
133,0,0,22,0
125,0,0,21,0
132,0,0,19,0
124,0,0,18,0
78,0,0,10,0
70,0,0,9,0
65,0,0,8,0
98,0,0,11,0
90,0,0,10,0
66,0,0,8,0
107,0,0,16,0
99,0,0,15,0
67,0,0,8,0
299,0,0,43,0
291,0,0,42,0
82,0,0,11,0
74,0,0,10,0
65,0,0,8,0
62,0,0,8,0
63,0,0,8,0
64,0,0,8,0
74,0,0,9,0
73,0,0,9,0
74,0,0,9,0
64,0,0,8,0
300,0,0,40,0
292,0,0,39,0
64,0,0,8,0
64,0,0,8,0
60,0,0,8,0
60,0,0,8,0
60,0,0,8,0
66,0,0,8,0
63,0,0,8,0
72,0,0,8,0
55,0,0,7,0
137,0,0,22,0
129,0,0,21,0
135,0,0,19,0
127,0,0,18,0
78,0,0,10,0
70,0,0,9,0
65,0,0,8,0
98,0,0,11,0
90,0,0,10,0
66,0,0,8,0
106,0,0,16,0
98,0,0,15,0
67,0,0,8,0
298,0,0,39,0
290,0,0,38,0
82,0,0,11,0
74,0,0,10,0
65,0,0,8,0
62,0,0,8,0
63,0,0,8,0
64,0,0,8,0
74,0,0,9,0
73,0,0,9,0
74,0,0,9,0
64,0,0,8,0
307,0,0,41,0
299,0,0,40,0
64,0,0,8,0
64,0,0,8,0
60,0,0,8,0
60,0,0,8,0
60,0,0,8,0
66,0,0,8,0
63,0,0,8,0
72,0,0,8,0
55,0,0,7,0
136,0,0,22,0
128,0,0,21,0
128,0,0,18,0
120,0,0,17,0
78,0,0,10,0
70,0,0,9,0
65,0,0,8,0
98,0,0,11,0
90,0,0,10,0
66,0,0,8,0
107,0,0,16,0
99,0,0,15,0
67,0,0,8,0
307,0,0,42,0
299,0,0,41,0
82,0,0,11,0
74,0,0,10,0
65,0,0,8,0
62,0,0,8,0
63,0,0,8,0
64,0,0,8,0
74,0,0,9,0
73,0,0,9,0
74,0,0,9,0
64,0,0,8,0
342,0,0,46,0
334,0,0,45,0
64,0,0,8,0
64,0,0,8,0
60,0,0,8,0
60,0,0,8,0
60,0,0,8,0
66,0,0,8,0
63,0,0,8,0
72,0,0,8,0
55,0,0,7,0
132,0,0,22,0
124,0,0,21,0
128,0,0,18,0
120,0,0,17,0
78,0,0,10,0
70,0,0,9,0
65,0,0,8,0
98,0,0,11,0
90,0,0,10,0
66,0,0,8,0
102,0,0,14,0
94,0,0,13,0
67,0,0,8,0
334,0,0,48,0
326,0,0,47,0
82,0,0,11,0
74,0,0,10,0
65,0,0,8,0
62,0,0,8,0
63,0,0,8,0
64,0,0,8,0
74,0,0,9,0
73,0,0,9,0
74,0,0,9,0
64,0,0,8,0
334,0,0,44,0
326,0,0,43,0
64,0,0,8,0
64,0,0,8,0
60,0,0,8,0
60,0,0,8,0
60,0,0,8,0
66,0,0,8,0
63,0,0,8,0
72,0,0,8,0
55,0,0,7,0
139,0,0,24,0
131,0,0,23,0
131,0,0,18,0
123,0,0,17,0
78,0,0,10,0
70,0,0,9,0
65,0,0,8,0
98,0,0,11,0
90,0,0,10,0
66,0,0,8,0
101,0,0,14,0
93,0,0,13,0
67,0,0,8,0
309,0,0,44,0
301,0,0,43,0
82,0,0,11,0
74,0,0,10,0
65,0,0,8,0
62,0,0,8,0
63,0,0,8,0
64,0,0,8,0
74,0,0,9,0
73,0,0,9,0
74,0,0,9,0
64,0,0,8,0
332,0,0,46,0
324,0,0,45,0
64,0,0,8,0
64,0,0,8,0
60,0,0,8,0
60,0,0,8,0
60,0,0,8,0
66,0,0,8,0
63,0,0,8,0
72,0,0,8,0
55,0,0,7,0
137,0,0,22,0
129,0,0,21,0
133,0,0,18,0
125,0,0,17,0
78,0,0,10,0
70,0,0,9,0
65,0,0,8,0
98,0,0,11,0
90,0,0,10,0
66,0,0,8,0
102,0,0,14,0
94,0,0,13,0
67,0,0,8,0
315,0,0,40,0
307,0,0,39,0
82,0,0,11,0
74,0,0,10,0
65,0,0,8,0
62,0,0,8,0
63,0,0,8,0
64,0,0,8,0
74,0,0,9,0
73,0,0,9,0
74,0,0,9,0
64,0,0,8,0
305,0,0,42,0
297,0,0,41,0
64,0,0,8,0
64,0,0,8,0
60,0,0,8,0
60,0,0,8,0
60,0,0,8,0
66,0,0,8,0
63,0,0,8,0
72,0,0,8,0
55,0,0,7,0
139,0,0,24,0
131,0,0,23,0
136,0,0,18,0
128,0,0,17,0
78,0,0,10,0
70,0,0,9,0
65,0,0,8,0
98,0,0,11,0
90,0,0,10,0
66,0,0,8,0
102,0,0,14,0
94,0,0,13,0
67,0,0,8,0
338,0,0,43,0
330,0,0,42,0
82,0,0,11,0
74,0,0,10,0
65,0,0,8,0
